Drug,Brand,Disease / Indication,Category,Target,Revenue ($B),Dose,Frequency,Duration,_ing,_rev_val
Nortriptyline Hydrochloride,NORTRIPTYLINE HYDROCHLORIDE,Psychiatric disorder,Psychiatric,SLC6A4 | SLC6A2,,10MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance),NORTRIPTYLINE HYDROCHLORIDE,0.0
Nystatin,KLAYESTA,Dyslipidemia; CV risk reduction,Metabolic,Ergosterol sequestering agent,0.07,"100,000 UNITS/mL oral",Once or twice daily,Indefinite (lifelong maintenance),NYSTATIN,67.48
Nystatin; Triamcinolone Acetonide,NYSTATIN AND TRIAMCINOLONE ACETONIDE,Dyslipidemia; CV risk reduction,Metabolic,NR3C1,,"100,000 UNITS/GM; 0.1% topical",Once or twice daily,Indefinite (lifelong maintenance),NYSTATIN; TRIAMCINOLONE ACETONIDE,0.0
Octreotide Acetate,BYNFEZIA PEN,Dyslipidemia; CV risk reduction,GI,SSTR5,0.01,7MG BASE/2.8ML (2.5MG BASE/mL) SC,Weekly or monthly,Indefinite (lifelong maintenance),OCTREOTIDE ACETATE,5.44
Olanzapine,OLANZAPINE,Schizophrenia; Bipolar disorder; Nausea,Psychiatric,HTR2A | HTR2C | DRD2,0.10,20MG oral,Once or twice daily,Indefinite (lifelong maintenance),OLANZAPINE,96.46
Olanzapine Pamoate,ZYPREXA RELPREVV,Schizophrenia; Bipolar disorder; Nausea,Psychiatric,HTR2A | HTR2C | DRD2,,405MG BASE/VIAL,Once daily,Indefinite (lifelong maintenance),OLANZAPINE PAMOATE,0.0
Olanzapine; Samidorphan L-malate,LYBALVI,Generalized anxiety disorder,Psychiatric,HTR2A | HTR2C | DRD2 | OPRK1 | OPRD1 | OPRM1,0.21,20MG; 10MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance),OLANZAPINE; SAMIDORPHAN L-MALATE,207.18
Olaparib,LYNPARZA,Ovarian / Breast / Prostate cancer,Oncology,PARP1,0.23,150MG oral,Once or twice daily,Long-term (until progression / disease control),OLAPARIB,234.46
Olmesartan Medoxomil,BENICAR,Cardiovascular disease,Cardiovascular,AGTR1,0.02,40MG oral,Once or twice daily,Indefinite (lifelong maintenance),OLMESARTAN MEDOXOMIL,15.78
Olodaterol Hydrochloride,STRIVERDI RESPIMAT,Asthma; COPD,Respiratory,ADRB2,,0.0025MG BASE//inh inh,Twice daily,Indefinite (lifelong maintenance),OLODATEROL HYDROCHLORIDE,0.0
Olodaterol Hydrochloride; Tiotropium Bromide,STIOLTO RESPIMAT,Asthma; COPD,Respiratory,ADRB2 | CHRM3,,0.0025MG BASE//inh; 0.0025MG BASE//inh inh,Twice daily,Indefinite (lifelong maintenance),OLODATEROL HYDROCHLORIDE; TIOTROPIUM BROMIDE,0.0
Olsalazine Sodium,DIPENTUM,GI disorder,GI,ALOX5 | PPARG | PTGS2,0.00,250MG oral,Once or twice daily,Indefinite (lifelong maintenance),OLSALAZINE SODIUM,0.24
Olutasidenib,REZLIDHIA,Cancer,Oncology,IDH1,,150MG oral,Once or twice daily,Long-term (until progression / disease control),OLUTASIDENIB,0.0
Omega-3-acid Ethyl Esters,LOVAZA,Metabolic disorder,Metabolic,Unknown,0.00,1GM CONTAINS AT LEAST 900MG OF THE ETHYL ESTERS OF OMEGA-3 F oral,Once or twice daily,Indefinite (lifelong maintenance),OMEGA-3-ACID ETHYL ESTERS,0.38
Omeprazole,OMEPRAZOLE,GI disorder,GI,ATP4A,0.35,20MG oral,Once daily,Indefinite (lifelong maintenance),OMEPRAZOLE,347.08
Omeprazole Magnesium,OMEPRAZOLE MAGNESIUM,GI disorder,GI,ATP4A,0.01,20MG BASE oral,Once daily,Indefinite (lifelong maintenance),OMEPRAZOLE MAGNESIUM,7.91
Omeprazole; Sodium Bicarbonate,KONVOMEP,Hypertension; Heart failure; Diabetic nephropathy,GI,ATP4A,0.01,20MG/PACKET; 1.68GM/PACKET oral,Once or twice daily,Indefinite (lifelong maintenance),OMEPRAZOLE; SODIUM BICARBONATE,7.32
Omidenepag Isopropyl,OMLONTI,Ophthalmic disorder,Ophthalmology,PTGER2,,0.002% ophthalmic,As directed,Indefinite (lifelong maintenance),OMIDENEPAG ISOPROPYL,0.0
Orlistat,ALLI,Obesity,Metabolic,LIPF | PNLIP,0.01,120MG oral,Once or twice daily,Indefinite (lifelong maintenance),ORLISTAT,6.16
Osilodrostat Phosphate,ISTURISA,Metabolic disorder,Metabolic,CYP11B1,0.01,5MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance),OSILODROSTAT PHOSPHATE,13.25
Osimertinib Mesylate,TAGRISSO,Non-small cell lung cancer (EGFR+),Oncology,EGFR,0.31,80MG BASE oral,Once or twice daily,Long-term (until progression / disease control),OSIMERTINIB MESYLATE,305.1
Oxcarbazepine,OXCARBAZEPINE,Hypertension; Heart failure; Diabetic nephropathy,Psychiatric,SCN1A,0.09,600MG oral,Once or twice daily,Indefinite (lifelong maintenance),OXCARBAZEPINE,89.64
Oxybutynin,OXYTROL,Neurological disorder,Neurology,CHRM3 | CHRM2,0.04,3.9MG/24HR transdermal,Once daily,Indefinite (lifelong maintenance),OXYBUTYNIN,36.68
Oxybutynin Chloride,OXYBUTYNIN CHLORIDE,Neurological disorder,Neurology,CHRM3 | CHRM2,,5MG/5ML oral,Once or twice daily,Indefinite (lifelong maintenance),OXYBUTYNIN CHLORIDE,0.0
Oxycodone,XTAMPZA ER,Chronic pain; Cancer pain,Pain,OPRM1,0.27,36MG oral,Once daily,Indefinite (lifelong maintenance),OXYCODONE,271.33
Oxycodone Hydrochloride,OXYCODONE HYDROCHLORIDE,Chronic pain; Cancer pain,Pain,OPRM1,0.13,30MG oral,Once or twice daily,Indefinite (lifelong maintenance),OXYCODONE HYDROCHLORIDE,125.57
Oxymorphone Hydrochloride,OXYMORPHONE HYDROCHLORIDE,Chronic pain; Cancer pain,Pain,OPRK1,,5MG oral,Once daily,Indefinite (lifelong maintenance),OXYMORPHONE HYDROCHLORIDE,0.0
Ozanimod Hydrochloride,ZEPOSIA,Multiple sclerosis,Neurology,S1PR1,0.08,0.92MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance),OZANIMOD HYDROCHLORIDE,84.07
Paclitaxel,ABRAXANE,Cancer,Oncology,TUBB4B,0.12,100MG/VIAL IV,Once daily,Long-term (until progression / disease control),PACLITAXEL,116.51
Pacritinib Citrate,VONJO,Cancer,Oncology,JAK2 | FLT3 | ACVR1 | IRAK1,0.00,100MG BASE oral,Once or twice daily,Long-term (until progression / disease control),PACRITINIB CITRATE,4.29
Palbociclib,IBRANCE,Breast cancer (HR+/HER2-),Oncology,CCND1 | CDK4,0.67,125MG oral,Once or twice daily,Long-term (until progression / disease control),PALBOCICLIB,671.72
Paliperidone,INVEGA,Schizophrenia; Bipolar disorder; Nausea,Psychiatric,DRD2 | HTR2A,4.28,9MG oral,Once daily,Indefinite (lifelong maintenance),PALIPERIDONE,4277.14
Paliperidone Palmitate,ERZOFRI,Schizophrenia; Bipolar disorder; Nausea,Psychiatric,DRD2 | HTR2A,,819MG/2.625ML (312MG/mL),Once daily,Indefinite (lifelong maintenance),PALIPERIDONE PALMITATE,0.0
Palopegteriparatide,YORVIPATH,Osteoporosis,Metabolic,PTH1R,,0.42MG TERIPARATIDE/1.4ML (0.3MG TERIPARATIDE/mL) SC,Weekly or monthly,Indefinite (lifelong maintenance),PALOPEGTERIPARATIDE,0.0
Pamidronate Disodium,PAMIDRONATE DISODIUM,Metabolic disorder,Metabolic,FDPS,,90MG/10ML (9MG/mL),As directed,Indefinite (lifelong maintenance),PAMIDRONATE DISODIUM,0.0
Pantoprazole Sodium,PANTOPRAZOLE SODIUM,GI disorder,GI,ATP4A,0.02,40MG BASE oral,Once daily,Indefinite (lifelong maintenance),PANTOPRAZOLE SODIUM,22.24
Paricalcitol,PARICALCITOL,Metabolic disorder,Metabolic,VDR,0.07,0.01MG/2ML (0.005MG/mL) IV,As directed,Indefinite (lifelong maintenance),PARICALCITOL,73.2
Paroxetine Hydrochloride,PAROXETINE,Psychiatric disorder,Psychiatric,SLC6A4,0.04,40MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance),PAROXETINE HYDROCHLORIDE,38.29
Paroxetine Mesylate,BRISDELLE,Psychiatric disorder,Psychiatric,SLC6A4,,7.5MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance),PAROXETINE MESYLATE,0.0
Pasireotide Diaspartate,SIGNIFOR,Dyslipidemia; CV risk reduction,Metabolic,SSTR5 | SSTR2 | SSTR1 | SSTR3,0.00,0.9MG BASE/mL (0.9MG BASE/mL) SC,Weekly or monthly,Indefinite (lifelong maintenance),PASIREOTIDE DIASPARTATE,4.43
Pasireotide Pamoate,SIGNIFOR LAR KIT,Dyslipidemia; CV risk reduction,Metabolic,SSTR3 | SSTR5 | SSTR2 | SSTR1,,60MG BASE/VIAL,As directed,Indefinite (lifelong maintenance),PASIREOTIDE PAMOATE,0.0
Patiromer Sorbitex Calcium,VELTASSA,Metabolic disorder,Metabolic,Potassium chelating agent,0.03,16.8GM BASE/PACKET oral,Once daily,Indefinite (lifelong maintenance),PATIROMER SORBITEX CALCIUM,32.83
Pemetrexed,PEMETREXED,RA; Psoriasis; Cancer,Oncology,DHFR | TYMS | GART,0.05,500MG/20ML (25MG/mL) IV,As directed,Long-term (until progression / disease control),PEMETREXED,52.94
Pemetrexed Dipotassium,AXTLE,RA; Psoriasis; Cancer,Oncology,GART | thyA | DHFR,,500MG BASE/VIAL IV,Once daily,Long-term (until progression / disease control),PEMETREXED DIPOTASSIUM,0.0
Pemetrexed Disodium,ALIMTA,RA; Psoriasis; Cancer,Oncology,TYMS | DHFR | GART,0.02,500MG BASE/20ML (25MG BASE/mL) IV,As directed,Long-term (until progression / disease control),PEMETREXED DISODIUM,18.36
Pemigatinib,PEMAZYRE,Cancer,Oncology,FGFR2 | FGFR3 | FGFR1,0.01,13.5MG oral,Once or twice daily,Long-term (until progression / disease control),PEMIGATINIB,6.26
Penicillamine,CUPRIMINE,Autoimmune disease,Autoimmune,Copper chelating agent,,250MG oral,Once or twice daily,Indefinite (lifelong maintenance),PENICILLAMINE,0.0
Pentostatin,NIPENT,Dyslipidemia; CV risk reduction,Metabolic,ADA,0.00,10MG/VIAL,As directed,Indefinite (lifelong maintenance),PENTOSTATIN,0.06
Perampanel,FYCOMPA,Neurological disorder,Neurology,GRIA4,0.18,12MG oral,Once or twice daily,Indefinite (lifelong maintenance),PERAMPANEL,183.21
Perphenazine,PERPHENAZINE,Schizophrenia; Bipolar disorder; Nausea,Psychiatric,DRD2,,2MG oral,Once or twice daily,Indefinite (lifelong maintenance),PERPHENAZINE,0.0
Pexidartinib Hydrochloride,TURALIO,Cancer,Oncology,CSF1R | FLT3 | KIT,0.01,125MG BASE oral,Once or twice daily,Long-term (until progression / disease control),PEXIDARTINIB HYDROCHLORIDE,10.31
Phenobarbital Sodium,SEZABY,Hypertension; Heart failure; Diabetic nephropathy,Neurology,,,100MG/VIAL IV,Once daily,Indefinite (lifelong maintenance),PHENOBARBITAL SODIUM,0.0
Phenytoin,DILANTIN,Neurological disorder,Neurology,SCN1A,0.01,50MG oral,Once or twice daily,Indefinite (lifelong maintenance),PHENYTOIN,13.12
Phenytoin Sodium,DILANTIN,Neurological disorder,Neurology,SCN1A,0.01,50MG/mL,As directed,Indefinite (lifelong maintenance),PHENYTOIN SODIUM,9.38
Pilocarpine Hydrochloride,ISOPTO CARPINE,Ophthalmic disorder,Ophthalmology,CHRM3 | CHRM1,,7.5MG oral,Once or twice daily,Indefinite (lifelong maintenance),PILOCARPINE HYDROCHLORIDE,0.0
Pimecrolimus,ELIDEL,Skin disorder,Dermatology,FKBP1A,0.07,1% topical,Once or twice daily,Indefinite (lifelong maintenance),PIMECROLIMUS,74.28
Pindolol,PINDOLOL,Asthma; COPD,Cardiovascular,ADRB1 | ADRB2,0.00,5MG oral,Once or twice daily,Indefinite (lifelong maintenance),PINDOLOL,0.62
Pioglitazone Hydrochloride,ACTOS,Metabolic disorder,Metabolic,PPARG,,45MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance),PIOGLITAZONE HYDROCHLORIDE,0.0
Pirfenidone,ESBRIET,Psychiatric disorder,Psychiatric,Unknown,0.00,801MG oral,Once or twice daily,Indefinite (lifelong maintenance),PIRFENIDONE,2.2
Pirtobrutinib,JAYPIRCA,B-cell malignancies (CLL/MCL),Oncology,BTK,0.00,100MG oral,Once or twice daily,Long-term (until progression / disease control),PIRTOBRUTINIB,2.02
Pitavastatin Calcium,LIVALO,Dyslipidemia; CV risk reduction,Metabolic,HMGCR,0.01,4MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance),PITAVASTATIN CALCIUM,14.01
Pitavastatin Magnesium,ZYPITAMAG,Dyslipidemia; CV risk reduction,Metabolic,HMGCR,0.00,4MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance),PITAVASTATIN MAGNESIUM,0.04
Pitolisant Hydrochloride,WAKIX,Psychiatric disorder,Psychiatric,HRH3,0.20,17.8MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance),PITOLISANT HYDROCHLORIDE,197.3
Plecanatide,TRULANCE,IBS-C; Chronic idiopathic constipation,GI,GUCY2C,0.07,3MG oral,Once or twice daily,Indefinite (lifelong maintenance),PLECANATIDE,72.41
Pomalidomide,POMALIDOMIDE,Cancer,Oncology,CRBN,0.15,4MG oral,Once or twice daily,Long-term (until progression / disease control),POMALIDOMIDE,151.46
Ponatinib Hydrochloride,ICLUSIG,Chronic myeloid leukaemia (CML),Oncology,ABL1,0.10,45MG BASE oral,Once or twice daily,Long-term (until progression / disease control),PONATINIB HYDROCHLORIDE,99.56
Ponesimod,PONVORY,Multiple sclerosis,Neurology,S1PR1,0.00,20MG oral,Once or twice daily,Indefinite (lifelong maintenance),PONESIMOD,4.93
Potassium Chloride,KLOR-CON,Metabolic disorder,Metabolic,Supplement,0.02,10MEQ oral,Once daily,Indefinite (lifelong maintenance),POTASSIUM CHLORIDE,15.82
Potassium Chloride; Sodium Chloride,POTASSIUM CHLORIDE 0.149% IN SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER,Metabolic disorder,Metabolic,Supplement,,300MG/100ML; 900MG/100ML,As directed,Indefinite (lifelong maintenance),POTASSIUM CHLORIDE; SODIUM CHLORIDE,0.0
Potassium Citrate,POTASSIUM CITRATE,Metabolic disorder,Metabolic,,0.00,15MEQ oral,Once daily,Indefinite (lifelong maintenance),POTASSIUM CITRATE,0.01
"Potassium Phosphate, Dibasic; Potassium Phosphate, Monobasic",POTASSIUM PHOSPHATES,Metabolic disorder,Metabolic,,,1.18GM/250ML (4.72MG/mL); 1.12GM/250ML (4.48MG/mL) IV,As directed,Indefinite (lifelong maintenance),"POTASSIUM PHOSPHATE, DIBASIC; POTASSIUM PHOSPHATE, MONOBASIC",0.0
Pralsetinib,GAVRETO,Cancer,Oncology,RET | RET | RET,0.00,100MG oral,Once or twice daily,Long-term (until progression / disease control),PRALSETINIB,1.96
Pramipexole Dihydrochloride,PRAMIPEXOLE DIHYDROCHLORIDE,Neurological disorder,Neurology,DRD2,,0.375MG oral,Once daily,Indefinite (lifelong maintenance),PRAMIPEXOLE DIHYDROCHLORIDE,0.0
Prasugrel Hydrochloride,EFFIENT,Cardiovascular disease,Cardiovascular,P2RY12,0.01,10MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance),PRASUGREL HYDROCHLORIDE,5.37
Pravastatin Sodium,PRAVASTATIN SODIUM,Dyslipidemia; CV risk reduction,Metabolic,HMGCR,,10MG oral,Once or twice daily,Indefinite (lifelong maintenance),PRAVASTATIN SODIUM,0.0
Prazosin Hydrochloride,MINIPRESS,Cardiovascular disease,Cardiovascular,ADRA1A,0.07,5MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance),PRAZOSIN HYDROCHLORIDE,68.71
Pregabalin,LYRICA,Neuropathic pain; Fibromyalgia; Epilepsy,Neurology,CACNA1H,0.21,330MG oral,Once daily,Indefinite (lifelong maintenance),PREGABALIN,214.04
Primaquine Phosphate,PRIMAQUINE,Metabolic disorder,Metabolic,Unknown,0.00,15MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance),PRIMAQUINE PHOSPHATE,0.02
Primidone,MYSOLINE,Anxiety; Insomnia; Epilepsy,Psychiatric,GABRA1 | SCN1A,0.00,250MG oral,Once or twice daily,Indefinite (lifelong maintenance),PRIMIDONE,4.85
Probenecid,PROBALAN,Gout; Hyperuricemia,Metabolic,SLC22A6 | SLC22A8 | SLC22A11,0.00,500MG oral,Once or twice daily,Indefinite (lifelong maintenance),PROBENECID,1.06
Probenecid; Sulopenem Etzadroxil,ORLYNVAH,Gout; Hyperuricemia,Metabolic,SLC22A6 | SLC22A8 | SLC22A11 | dacB,,500MG; 500MG oral,Once or twice daily,Indefinite (lifelong maintenance),PROBENECID; SULOPENEM ETZADROXIL,0.0
Procarbazine Hydrochloride,MATULANE,Hypertension; Heart failure; Diabetic nephropathy,Oncology,DNA inhibitor,0.00,50MG BASE oral,Once or twice daily,Long-term (until progression / disease control),PROCARBAZINE HYDROCHLORIDE,2.04
Progesterone,CRINONE,Metabolic disorder,Metabolic,PGR,0.00,100MG,As directed,Indefinite (lifelong maintenance),PROGESTERONE,2.65
Propafenone Hydrochloride,PROPAFENONE HYDROCHLORIDE,Asthma; COPD,Cardiovascular,ADRB1 | ADRB2 | SCN1A,,225MG oral,Once daily,Indefinite (lifelong maintenance),PROPAFENONE HYDROCHLORIDE,0.0
Propranolol Hydrochloride,HEMANGEOL,Asthma; COPD,Cardiovascular,ADRB1 | ADRB2,0.01,4.28MG/mL oral,Once or twice daily,Indefinite (lifelong maintenance),PROPRANOLOL HYDROCHLORIDE,12.05
Propylthiouracil,PROPYLTHIOURACIL,Hyperthyroidism,Metabolic,TPO | DIO1,,50MG oral,Once or twice daily,Indefinite (lifelong maintenance),PROPYLTHIOURACIL,0.0
Protriptyline Hydrochloride,PROTRIPTYLINE HYDROCHLORIDE,Psychiatric disorder,Psychiatric,SLC6A4 | SLC6A2,,5MG oral,Once or twice daily,Indefinite (lifelong maintenance),PROTRIPTYLINE HYDROCHLORIDE,0.0
Prucalopride Succinate,MOTEGRITY,Migraine (acute),GI,HTR4,0.04,2MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance),PRUCALOPRIDE SUCCINATE,40.98
Pyridostigmine Bromide,MESTINON,Alzheimer's disease; Myasthenia gravis,Neurology,ACHE,0.00,60MG oral,Once or twice daily,Indefinite (lifelong maintenance),PYRIDOSTIGMINE BROMIDE,2.09
Pyridoxine Hydrochloride,PYRIDOXINE HYDROCHLORIDE,Metabolic disorder,Metabolic,Supplement,0.00,100MG/mL,As directed,Indefinite (lifelong maintenance),PYRIDOXINE HYDROCHLORIDE,0.41
Quetiapine Fumarate,QUETIAPINE FUMARATE,Schizophrenia; Bipolar disorder; Nausea,Psychiatric,HTR2A | HTR2C | DRD2,0.17,400MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance),QUETIAPINE FUMARATE,174.52
Quinapril Hydrochloride,QUINAPRIL HYDROCHLORIDE,Hypertension; Heart failure; CKD,Cardiovascular,ACE,0.00,5MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance),QUINAPRIL HYDROCHLORIDE,0.06
Quinidine Gluconate,QUINIDINE GLUCONATE,Cardiovascular disease,Cardiovascular,SCN1A,0.00,324MG oral,Once daily,Indefinite (lifelong maintenance),QUINIDINE GLUCONATE,0.61
Quinidine Sulfate,QUINIDINE SULFATE,Cardiovascular disease,Cardiovascular,SCN1A,,200MG oral,Once or twice daily,Indefinite (lifelong maintenance),QUINIDINE SULFATE,0.0
Quizartinib Dihydrochloride,VANFLYTA,Cancer,Oncology,FLT3,,26.5MG BASE oral,Once or twice daily,Long-term (until progression / disease control),QUIZARTINIB DIHYDROCHLORIDE,0.0
Rabeprazole Sodium,ACIPHEX,GI disorder,GI,ATP4A,0.00,20MG oral,Once daily,Indefinite (lifelong maintenance),RABEPRAZOLE SODIUM,0.77
Raloxifene Hydrochloride,EVISTA,Metabolic disorder,Metabolic,ESR2,0.00,60MG oral,Once or twice daily,Indefinite (lifelong maintenance),RALOXIFENE HYDROCHLORIDE,1.43
Raltegravir Potassium,ISENTRESS,Infectious disease,Infectious,pol,0.10,600MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance),RALTEGRAVIR POTASSIUM,102.52
Ramipril,RAMIPRIL,Hypertension; Heart failure; CKD,Cardiovascular,ACE,0.00,1.25MG oral,Once or twice daily,Indefinite (lifelong maintenance),RAMIPRIL,2.42
Ranitidine Hydrochloride,RANITIDINE HYDROCHLORIDE,GERD; Peptic ulcer disease,GI,HRH2,0.00,150MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance),RANITIDINE HYDROCHLORIDE,0.02
Ranolazine,RANOLAZINE,Cardiovascular disease,Cardiovascular,SCN5A | SCN4A,0.01,1GM oral,Once daily,Indefinite (lifelong maintenance),RANOLAZINE,11.57
Rasagiline Mesylate,AZILECT,Neurological disorder,Neurology,MAOB,0.00,1MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance),RASAGILINE MESYLATE,0.71
Regorafenib,STIVARGA,Cancer,Oncology,ABL1 | RAF1 | KIT | FGFR1 | MAPK11 | FGFR2 | FRK | DDR2 | BR,0.06,40MG oral,Once or twice daily,Long-term (until progression / disease control),REGORAFENIB,58.11
Relugolix,ORGOVYX,Cancer,Oncology,GNRHR,0.02,120MG oral,Once or twice daily,Long-term (until progression / disease control),RELUGOLIX,16.42
Remibrutinib,RHAPSIDO,Cancer,Oncology,,,25MG oral,Once or twice daily,Long-term (until progression / disease control),REMIBRUTINIB,0.0
Repaglinide,REPAGLINIDE,Type 2 diabetes,Metabolic,KCNJ11,,0.5MG oral,Once or twice daily,Indefinite (lifelong maintenance),REPAGLINIDE,0.0
Repotrectinib,AUGTYRO,Cancer,Oncology,NTRK1 | NTRK2 | ROS1 | NTRK3 | CD74 | ROS1,,160MG oral,Once or twice daily,Long-term (until progression / disease control),REPOTRECTINIB,0.0
Ribociclib Succinate,KISQALI,Breast cancer (HR+/HER2-),Oncology,CDK4 | CDK6,0.27,200MG BASE oral,Once or twice daily,Long-term (until progression / disease control),RIBOCICLIB SUCCINATE,265.79
Riboflavin 5'-phosphate Sodium,EPIOXA HD/EPIOXA KIT,Metabolic disorder,Metabolic,Unknown,,0.146% BASE/mL; 0.146% BASE/mL ophthalmic,Once daily,Indefinite (lifelong maintenance),RIBOFLAVIN 5'-PHOSPHATE SODIUM,0.0
Rilpivirine Hydrochloride,EDURANT,Infectious disease,Infectious,pol,0.02,25MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance),RILPIVIRINE HYDROCHLORIDE,18.87
Riluzole,RILUZOLE,Neurological disorder,Neurology,SCN1A,0.00,50MG/10ML oral,Once or twice daily,Long-term (until progression / disease control),RILUZOLE,0.97
Rilzabrutinib,WAYRILZ,B-cell malignancies (CLL/MCL),Oncology,BTK,,400MG oral,Once or twice daily,Long-term (until progression / disease control),RILZABRUTINIB,0.0
Riociguat,ADEMPAS,Cardiovascular disease,Cardiovascular,GUCY1B1,0.18,2.5MG oral,Once or twice daily,Indefinite (lifelong maintenance),RIOCIGUAT,175.35
Ripretinib,QINLOCK,Cancer,Oncology,KIT | PDGFRA,0.01,50MG oral,Once or twice daily,Long-term (until progression / disease control),RIPRETINIB,13.57
Risedronate Sodium,ACTONEL,Metabolic disorder,Metabolic,FDPS,0.00,150MG oral,Once or twice daily,Indefinite (lifelong maintenance),RISEDRONATE SODIUM,0.0
Risperidone,PERSERIS KIT,Schizophrenia; Bipolar disorder; Nausea,Psychiatric,HTR2A | HTR2C | DRD2,0.19,4MG oral,Once or twice daily,Indefinite (lifelong maintenance),RISPERIDONE,189.15
Ritlecitinib Tosylate,LITFULO,Cancer,Oncology,JAK3 | ITK,0.00,50MG BASE oral,Once or twice daily,Long-term (until progression / disease control),RITLECITINIB TOSYLATE,1.62
Ritonavir,NORVIR,Infectious disease,Infectious,pol | CYP3A4,0.00,100MG oral,Once or twice daily,Indefinite (lifelong maintenance),RITONAVIR,4.51
Rivaroxaban,RIVAROXABAN,Atrial fibrillation; DVT/PE prevention,Cardiovascular,F10,1.02,20MG oral,Once or twice daily,Indefinite (lifelong maintenance),RIVAROXABAN,1023.61
Rivastigmine,EXELON,Neurological disorder,Neurology,BCHE,0.00,13.3MG/24HR transdermal,Once daily,Indefinite (lifelong maintenance),RIVASTIGMINE,2.96
Rivastigmine Tartrate,RIVASTIGMINE TARTRATE,Neurological disorder,Neurology,BCHE,,1.5MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance),RIVASTIGMINE TARTRATE,0.0
Roflumilast,DALIRESP,COPD,Respiratory,PDE4A,0.02,500MCG oral,Once or twice daily,Indefinite (lifelong maintenance),ROFLUMILAST,17.06
Romidepsin,ISTODAX,Haematological malignancies,Oncology,HDAC1,0.00,10MG/VIAL IV,Once daily,Long-term (until progression / disease control),ROMIDEPSIN,3.4
Ropinirole Hydrochloride,ROPINIROLE HYDROCHLORIDE,Neurological disorder,Neurology,DRD2,0.02,2MG BASE oral,Once daily,Indefinite (lifelong maintenance),ROPINIROLE HYDROCHLORIDE,16.13
Rosuvastatin Calcium,CRESTOR,Dyslipidemia; CV risk reduction,Metabolic,HMGCR,0.00,40MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance),ROSUVASTATIN CALCIUM,1.77
Rotigotine,NEUPRO,Neurological disorder,Neurology,DRD2,0.01,8MG/24HR transdermal,Once daily,Indefinite (lifelong maintenance),ROTIGOTINE,7.5
Rufinamide,BANZEL,Neurological disorder,Neurology,SCN1A,0.24,400MG oral,Once or twice daily,Indefinite (lifelong maintenance),RUFINAMIDE,238.11
Ruxolitinib Phosphate,JAKAFI,Cancer,Oncology,JAK1 | JAK2,0.45,25MG BASE oral,Once or twice daily,Long-term (until progression / disease control),RUXOLITINIB PHOSPHATE,447.86
Sacubitril; Valsartan,ENTRESTO,Cardiovascular disease,Cardiovascular,MME | AGTR1,1.11,97MG; 103MG oral,Once or twice daily,Indefinite (lifelong maintenance),SACUBITRIL; VALSARTAN,1113.45
Sapropterin Dihydrochloride,KUVAN,Metabolic disorder,Metabolic,PAH,0.05,100MG oral,Once or twice daily,Indefinite (lifelong maintenance),SAPROPTERIN DIHYDROCHLORIDE,49.64
Saxagliptin Hydrochloride,SAXAGLIPTIN,Type 2 diabetes,Metabolic,DPP4,,2.5MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance),SAXAGLIPTIN HYDROCHLORIDE,0.0
Selegiline,EMSAM,Neurological disorder,Neurology,MAOB,0.01,12MG/24HR transdermal,Once daily,Indefinite (lifelong maintenance),SELEGILINE,6.94
Selegiline Hydrochloride,SELEGILINE HYDROCHLORIDE,Neurological disorder,Neurology,MAOB,0.00,1.25MG oral,Once daily,Indefinite (lifelong maintenance),SELEGILINE HYDROCHLORIDE,0.05
Selexipag,SELEXIPAG,Cardiovascular disease,Cardiovascular,PTGIR,0.41,1.6MG oral,Once or twice daily,Indefinite (lifelong maintenance),SELEXIPAG,410.93
Selpercatinib,RETEVMO,Cancer,Oncology,RET | RET | RET,0.01,160MG oral,Once or twice daily,Long-term (until progression / disease control),SELPERCATINIB,14.91
Selumetinib Sulfate,KOSELUGO,Cancer,Oncology,MAP2K1 | MAP2K2,0.11,7.5MG BASE oral,As directed,Long-term (until progression / disease control),SELUMETINIB SULFATE,111.72
Semaglutide,OZEMPIC,Type 2 diabetes; Obesity; CV risk reduction,Metabolic,GLP1R,5.80,25MG oral,Once or twice daily,Indefinite (lifelong maintenance),SEMAGLUTIDE,5795.27
