Drug,Brand,Disease / Indication,Category,Drug Modality,Target,Revenue ($B),Dose,Frequency,Duration
Potassium Chloride; Sodium Chloride,POTASSIUM CHLORIDE 0.149% IN SODIUM CHLORIDE 0.45% IN PLASTIC CONTAINER,Narcolepsy / EDS,Endocrinology – Metabolic,chemical,Supplement,,300MG/100ML; 900MG/100ML,As directed,Indefinite (lifelong maintenance)
Potassium Citrate,POTASSIUM CITRATE,Metabolic disorder,Endocrinology – Metabolic,chemical,,0.00,15MEQ oral,Once daily,Indefinite (lifelong maintenance)
"Potassium Phosphate, Dibasic; Potassium Phosphate, Monobasic",POTASSIUM PHOSPHATES,Metabolic disorder,Endocrinology – Metabolic,chemical,,,1.18GM/250ML (4.72MG/mL); 1.12GM/250ML (4.48MG/mL) IV,As directed,Indefinite (lifelong maintenance)
Pralsetinib,GAVRETO,Non-small cell lung cancer; Small cell lung cancer; Thyroid cancer,Oncology – Solid Tumor,chemical,RET | RET | RET,0.00,100MG oral,Once or twice daily,Long-term (until progression / disease control)
Pramipexole Dihydrochloride,PRAMIPEXOLE DIHYDROCHLORIDE,Parkinson's disease,Neurology – Movement Disorder,chemical,DRD2,,0.375MG oral,Once daily,Indefinite (lifelong maintenance)
Prasugrel Hydrochloride,EFFIENT,Angina; Myocardial infarction (risk reduction),Cardiovascular – Ischemic,chemical,P2RY12,0.01,10MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Pravastatin Sodium,PRAVASTATIN SODIUM,Dyslipidemia; CV risk reduction,Endocrinology – Lipid,chemical,HMGCR,,10MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Prazosin Hydrochloride,MINIPRESS,Hypertension,Cardiovascular – Hypertension,chemical,ADRA1A,0.07,5MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Pregabalin,LYRICA,Diabetes mellitus; Epilepsy / seizures; Neuropathic pain / fibromyalgia,Neurology – Pain / Headache,chemical,CACNA1H,0.21,330MG oral,Once daily,Indefinite (lifelong maintenance)
Primaquine Phosphate,PRIMAQUINE,Metabolic disorder,Endocrinology – Metabolic,chemical,Unknown,0.00,15MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Primidone,MYSOLINE,Epilepsy / seizures,Psychiatry – Other,chemical,GABRA1 | SCN1A,0.00,250MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Probenecid,PROBALAN,Gout; Hyperuricemia,Metabolic – Gout,chemical,SLC22A6 | SLC22A8 | SLC22A11,0.00,500MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Probenecid; Sulopenem Etzadroxil,ORLYNVAH,Gout; Hyperuricemia,Metabolic – Gout,chemical,SLC22A6 | SLC22A8 | SLC22A11 | dacB,,500MG; 500MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Procarbazine Hydrochloride,MATULANE,Hypertension; Heart failure; Diabetic nephropathy,Oncology – Solid Tumor,chemical,DNA inhibitor,0.00,50MG BASE oral,Once or twice daily,Long-term (until progression / disease control)
Progesterone,CRINONE,Menopausal / hormone therapy,Endocrinology – Reproductive,chemical,PGR,0.00,100MG,As directed,Indefinite (lifelong maintenance)
Propafenone Hydrochloride,PROPAFENONE HYDROCHLORIDE,Atrial fibrillation; Cardiac arrhythmia,Cardiovascular – Arrhythmia,chemical,ADRB1 | ADRB2 | SCN1A,,225MG oral,Once daily,Indefinite (lifelong maintenance)
Propranolol Hydrochloride,HEMANGEOL,Atrial fibrillation; Angina; Myocardial infarction (risk reduction),Cardiovascular – Arrhythmia,chemical,ADRB1 | ADRB2,0.01,4.28MG/mL oral,Once or twice daily,Indefinite (lifelong maintenance)
Propylthiouracil,PROPYLTHIOURACIL,Hyperthyroidism,Endocrinology – Thyroid,chemical,TPO | DIO1,,50MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Protriptyline Hydrochloride,PROTRIPTYLINE HYDROCHLORIDE,Major depressive disorder,Psychiatry – Mood,chemical,SLC6A4 | SLC6A2,,5MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Prucalopride Succinate,MOTEGRITY,Chronic constipation,Gastroenterology – Motility,chemical,HTR4,0.04,2MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Pyridostigmine Bromide,MESTINON,Myasthenia gravis,Neurology – Neuromuscular,chemical,ACHE,0.00,60MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Pyridoxine Hydrochloride,PYRIDOXINE HYDROCHLORIDE,Metabolic disorder,Endocrinology – Metabolic,chemical,Supplement,0.00,100MG/mL,As directed,Indefinite (lifelong maintenance)
Quetiapine Fumarate,QUETIAPINE FUMARATE,Schizophrenia; Bipolar disorder,Psychiatry – Psychotic,chemical,HTR2A | HTR2C | DRD2,0.17,400MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Quinapril Hydrochloride,QUINAPRIL HYDROCHLORIDE,Hypertension,Cardiovascular – Hypertension,chemical,ACE,0.00,5MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Quinidine Gluconate,QUINIDINE GLUCONATE,Cardiovascular disease,Cardiovascular – Other,chemical,SCN1A,0.00,324MG oral,Once daily,Indefinite (lifelong maintenance)
Quinidine Sulfate,QUINIDINE SULFATE,Cardiovascular disease,Cardiovascular – Other,chemical,SCN1A,,200MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Quizartinib Dihydrochloride,VANFLYTA,Cancer,Oncology – Solid Tumor,chemical,FLT3,,26.5MG BASE oral,Once or twice daily,Long-term (until progression / disease control)
Rabeprazole Sodium,ACIPHEX,GERD,Gastroenterology – Acid-Related,chemical,ATP4A,0.00,20MG oral,Once daily,Indefinite (lifelong maintenance)
Raloxifene Hydrochloride,EVISTA,Breast cancer; Osteoporosis; Menopausal / hormone therapy,Bone / Metabolic,chemical,ESR2,0.00,60MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Raltegravir Potassium,ISENTRESS,HIV infection,Infectious – HIV,chemical,pol,0.10,600MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Ramipril,RAMIPRIL,Heart failure; Hypertension; Myocardial infarction (risk reduction),Cardiovascular – Heart Failure,chemical,ACE,0.00,1.25MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Ranitidine Hydrochloride,RANITIDINE HYDROCHLORIDE,GERD,Gastroenterology – Acid-Related,chemical,HRH2,0.00,150MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Ranolazine,RANOLAZINE,Angina,Cardiovascular – Ischemic,chemical,SCN5A | SCN4A,0.01,1GM oral,Once daily,Indefinite (lifelong maintenance)
Rasagiline Mesylate,AZILECT,Parkinson's disease,Neurology – Movement Disorder,chemical,MAOB,0.00,1MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Regorafenib,STIVARGA,Colorectal cancer,Oncology – Solid Tumor,chemical,ABL1 | RAF1 | KIT | FGFR1 | MAPK11 | FGFR2 | FRK | DDR2 | BR,0.06,40MG oral,Once or twice daily,Long-term (until progression / disease control)
Relugolix,ORGOVYX,Prostate cancer,Oncology – Solid Tumor,chemical,GNRHR,0.02,120MG oral,Once or twice daily,Long-term (until progression / disease control)
Remibrutinib,RHAPSIDO,Cancer,Oncology – Solid Tumor,chemical,,,25MG oral,Once or twice daily,Long-term (until progression / disease control)
Repaglinide,REPAGLINIDE,Type 2 diabetes; Diabetes mellitus,Endocrinology – Diabetes,chemical,KCNJ11,,0.5MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Repotrectinib,AUGTYRO,Non-small cell lung cancer; Small cell lung cancer,Oncology – Solid Tumor,chemical,NTRK1 | NTRK2 | ROS1 | NTRK3 | CD74 | ROS1,,160MG oral,Once or twice daily,Long-term (until progression / disease control)
Ribociclib Succinate,KISQALI,Breast cancer,Oncology – Solid Tumor,chemical,CDK4 | CDK6,0.27,200MG BASE oral,Once or twice daily,Long-term (until progression / disease control)
Riboflavin 5'-phosphate Sodium,EPIOXA HD/EPIOXA KIT,Metabolic disorder,Endocrinology – Metabolic,chemical,Unknown,,0.146% BASE/mL; 0.146% BASE/mL ophthalmic,Once daily,Indefinite (lifelong maintenance)
Rilpivirine Hydrochloride,EDURANT,HIV infection,Infectious – HIV,chemical,pol,0.02,25MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Riluzole,RILUZOLE,ALS,Neurology – Neuromuscular,chemical,SCN1A,0.00,50MG/10ML oral,Once or twice daily,Long-term (until progression / disease control)
Rilzabrutinib,WAYRILZ,B-cell malignancies (CLL/MCL),Oncology – Solid Tumor,mixture,BTK,,400MG oral,Once or twice daily,Long-term (until progression / disease control)
Riociguat,ADEMPAS,Hypertension; Pulmonary arterial hypertension; Venous thromboembolism,Cardiovascular / Pulmonary,chemical,GUCY1B1,0.18,2.5MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Ripretinib,QINLOCK,Cancer,Oncology – Solid Tumor,chemical,KIT | PDGFRA,0.01,50MG oral,Once or twice daily,Long-term (until progression / disease control)
Risedronate Sodium,ACTONEL,Osteoporosis; Menopausal / hormone therapy,Bone / Metabolic,chemical,FDPS,0.00,150MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Risperidone,PERSERIS KIT,Schizophrenia; Bipolar disorder,Psychiatry – Psychotic,chemical,HTR2A | HTR2C | DRD2,0.19,4MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Ritlecitinib Tosylate,LITFULO,Cancer,Oncology – Solid Tumor,chemical,JAK3 | ITK,0.00,50MG BASE oral,Once or twice daily,Long-term (until progression / disease control)
Ritonavir,NORVIR,Infectious disease,Infectious – Other,chemical,pol | CYP3A4,0.00,100MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Rivaroxaban,RIVAROXABAN,Atrial fibrillation; Stroke (risk reduction); DVT / venous thrombosis,Cardiovascular – Arrhythmia,chemical,F10,1.02,20MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Rivastigmine,EXELON,Parkinson's disease; Alzheimer's disease / dementia,Neurology – Movement Disorder,chemical,BCHE,0.00,13.3MG/24HR transdermal,Once daily,Indefinite (lifelong maintenance)
Rivastigmine Tartrate,RIVASTIGMINE TARTRATE,Parkinson's disease; Alzheimer's disease / dementia,Neurology – Movement Disorder,chemical,BCHE,,1.5MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Roflumilast,DALIRESP,COPD,Respiratory – Obstructive,chemical,PDE4A,0.02,500MCG oral,Once or twice daily,Indefinite (lifelong maintenance)
Romidepsin,ISTODAX,Lymphoma,Oncology – Hematologic,chemical,HDAC1,0.00,10MG/VIAL IV,Once daily,Long-term (until progression / disease control)
Ropinirole Hydrochloride,ROPINIROLE HYDROCHLORIDE,Parkinson's disease; Restless legs syndrome,Neurology – Movement Disorder,chemical,DRD2,0.02,2MG BASE oral,Once daily,Indefinite (lifelong maintenance)
Rosuvastatin Calcium,CRESTOR,Myocardial infarction (risk reduction); Stroke (risk reduction); Coronary artery disease,Endocrinology – Lipid,chemical,HMGCR,0.00,40MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Rotigotine,NEUPRO,Parkinson's disease; Restless legs syndrome,Neurology – Movement Disorder,chemical,DRD2,0.01,8MG/24HR transdermal,Once daily,Indefinite (lifelong maintenance)
Rufinamide,BANZEL,Epilepsy / seizures,Neurology – Epilepsy,chemical,SCN1A,0.24,400MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Ruxolitinib Phosphate,JAKAFI,Atopic dermatitis,Oncology – Solid Tumor,chemical,JAK1 | JAK2,0.45,25MG BASE oral,Once or twice daily,Long-term (until progression / disease control)
Sacubitril; Valsartan,ENTRESTO,Heart failure,Cardiovascular – Heart Failure,chemical,MME | AGTR1,1.11,97MG; 103MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Sapropterin Dihydrochloride,KUVAN,Metabolic disorder,Endocrinology – Metabolic,chemical,PAH,0.05,100MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Saxagliptin Hydrochloride,SAXAGLIPTIN,Type 2 diabetes; Diabetes mellitus,Endocrinology – Diabetes,chemical,DPP4,,2.5MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Selegiline,EMSAM,Parkinson's disease,Neurology – Movement Disorder,chemical,MAOB,0.01,12MG/24HR transdermal,Once daily,Indefinite (lifelong maintenance)
Selegiline Hydrochloride,SELEGILINE HYDROCHLORIDE,Parkinson's disease,Neurology – Movement Disorder,chemical,MAOB,0.00,1.25MG oral,Once daily,Indefinite (lifelong maintenance)
Selexipag,SELEXIPAG,Hypertension; Pulmonary arterial hypertension,Cardiovascular / Pulmonary,chemical,PTGIR,0.41,1.6MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Selpercatinib,RETEVMO,Non-small cell lung cancer; Small cell lung cancer; Thyroid cancer,Oncology – Solid Tumor,chemical,RET | RET | RET,0.01,160MG oral,Once or twice daily,Long-term (until progression / disease control)
Selumetinib Sulfate,KOSELUGO,Cancer,Oncology – Solid Tumor,chemical,MAP2K1 | MAP2K2,0.11,7.5MG BASE oral,As directed,Long-term (until progression / disease control)
Semaglutide,OZEMPIC,Type 2 diabetes; Diabetes mellitus; Myocardial infarction (risk reduction); Stroke (risk reduction),Endocrinology – Diabetes,protein,GLP1R,5.80,25MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Sertraline Hydrochloride,SERTRALINE HYDROCHLORIDE,Major depressive disorder,Psychiatry – Mood,chemical,SLC6A4,0.22,100MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Setmelanotide Acetate,IMCIVREE,Obesity / weight management,Endocrinology – Metabolic,chemical,MC4R,,EQ 10MG BASE/mL SC,Weekly or as directed,Indefinite (lifelong maintenance)
Sevabertinib,HYRNUO,Non-small cell lung cancer; Small cell lung cancer,Oncology – Solid Tumor,chemical,,,10MG oral,Once or twice daily,Long-term (until progression / disease control)
Sevelamer Carbonate,RENVELA,Chronic kidney disease,Endocrinology – Metabolic,polymer,Unknown,0.11,800MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Sevelamer Hydrochloride,RENAGEL,Chronic kidney disease,Endocrinology – Metabolic,polymer,Phosphate sequestering agent,0.00,800MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Sildenafil Citrate,REVATIO,Erectile dysfunction,Cardiovascular – Other,chemical,PDE5A,0.12,100MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Silodosin,SILODOSIN,Hypertension; Benign prostatic hyperplasia,Urology – Prostate,chemical,ADRA1A,0.00,4MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Simvastatin,FLOLIPID,Myocardial infarction (risk reduction); Stroke (risk reduction); Coronary artery disease,Endocrinology – Lipid,chemical,HMGCR,,40MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Siponimod,MAYZENT,Multiple sclerosis,Neurology – Demyelinating,chemical,S1PR1,0.03,2MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Sirolimus,FYARRO,Transplant rejection; Oncology,Autoimmune – Rheumatology,chemical,FKBP1A,0.07,2MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Sitagliptin,ZITUVIO,Type 2 diabetes; Diabetes mellitus,Endocrinology – Diabetes,chemical,,,100MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Sitagliptin Hydrochloride,BRYNOVIN,Type 2 diabetes; Diabetes mellitus,Endocrinology – Diabetes,chemical,,,25MG BASE/mL oral,Once or twice daily,Indefinite (lifelong maintenance)
Sitagliptin Phosphate,JANUVIA,Type 2 diabetes; Diabetes mellitus,Endocrinology – Diabetes,chemical,DPP4,1.39,100MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Sodium Bicarbonate,SODIUM BICARBONATE,Lymphoma,Endocrinology – Metabolic,chemical,,,50MEQ/50ML (1MEQ/mL) IV,As directed,Indefinite (lifelong maintenance)
Sodium Ferric Gluconate Complex,FERRLECIT,Anemia; Chronic kidney disease,Hematology – Anemia,chemical,Supplement,0.04,62.5MG IRON/5ML (12.5MG IRON/mL),As directed,Indefinite (lifelong maintenance)
Sodium Polystyrene Sulfonate,KALEXATE,Hyperkalemia,Metabolic – Electrolyte,polymer,Potassium sequestering agent,0.00,15GM/60ML oral,Once or twice daily,Indefinite (lifelong maintenance)
Sodium Zirconium Cyclosilicate,LOKELMA,Hyperkalemia,Metabolic – Electrolyte,chemical,Potassium chelating agent,0.06,10GM/PACKET oral,Once or twice daily,Indefinite (lifelong maintenance)
Solifenacin Succinate,SOLIFENACIN SUCCINATE,Overactive bladder,Urology – Bladder,chemical,CHRM3 | CHRM2,,5MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Solriamfetol Hydrochloride,SUNOSI,Narcolepsy / EDS,Psychiatry – ADHD / Wakefulness,chemical,Unknown,0.02,150MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Sonidegib Phosphate,ODOMZO,Basal cell carcinoma,Oncology – Solid Tumor,chemical,SMO,0.00,200MG BASE oral,Once or twice daily,Long-term (until progression / disease control)
Sorafenib Tosylate,NEXAVAR,Thyroid cancer; Hepatocellular carcinoma,Oncology – Solid Tumor,chemical,RAF1 | PDGFRB | KIT | FLT3 | BRAF | FLT1 | RET,0.02,200MG BASE oral,Once or twice daily,Long-term (until progression / disease control)
Sotagliflozin,INPEFA,Type 2 diabetes; Diabetes mellitus; Heart failure; Chronic kidney disease,Endocrinology – Diabetes,chemical,SLC5A1 | SLC5A2,0.00,400MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Sotalol Hydrochloride,BETAPACE,Atrial fibrillation; Cardiac arrhythmia,Cardiovascular – Arrhythmia,chemical,ADRB1 | KCNH2 | ADRB2,0.01,160MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Spironolactone,ALDACTONE,Heart failure; Hypertension,Cardiovascular – Heart Failure,chemical,NR3C2,0.01,100MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Stiripentol,DIACOMIT,Epilepsy / seizures,Neurology – Epilepsy,chemical,Unknown,0.02,500MG/PACKET oral,Once or twice daily,Indefinite (lifelong maintenance)
Sulfasalazine,AZULFIDINE,Ulcerative colitis,Autoimmune – Gastroenterology,chemical,ALOX5 | PTGS2,0.00,500MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Sunitinib Malate,SUNITINIB MALATE,Renal cell carcinoma,Oncology – Solid Tumor,chemical,CSF1R | KIT | FLT3 | PDGFRB | FLT1 | RET,0.00,50MG BASE oral,Once or twice daily,Long-term (until progression / disease control)
Sunvozertinib,ZEGFROVY,Cancer,Oncology – Solid Tumor,chemical,,,200MG oral,Once or twice daily,Long-term (until progression / disease control)
Tacrolimus,ASTAGRAF XL,Transplant rejection prevention; Autoimmune,Autoimmune – Rheumatology,chemical,FKBP1A,0.14,4MG BASE oral,Once daily,Indefinite (lifelong maintenance)
Tadalafil,ADCIRCA,Benign prostatic hyperplasia; Erectile dysfunction,Cardiovascular – Other,chemical,PDE5A,0.04,20MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Tafluprost,TAFLUPROST,Hypertension; Glaucoma / ocular hypertension,Ophthalmology,chemical,PTGFR,0.00,0.0015% ophthalmic,Once daily,Indefinite (lifelong maintenance)
Talazoparib Tosylate,TALZENNA,Breast cancer; Prostate cancer,Oncology – Solid Tumor,chemical,PARP2 | PARP1,0.00,1MG BASE oral,Once or twice daily,Long-term (until progression / disease control)
Tamoxifen Citrate,SOLTAMOX,Breast cancer,Oncology – Solid Tumor,chemical,ESR1,0.01,20MG BASE/10ML oral,Once or twice daily,Long-term (until progression / disease control)
Tamsulosin Hydrochloride,TAMSULOSIN HYDROCHLORIDE,Hypertension; Benign prostatic hyperplasia,Urology – Prostate,chemical,ADRA1A,0.05,0.4MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Tapinarof,VTAMA,Psoriasis; Atopic dermatitis,Autoimmune – Dermatology,chemical,AHR,0.03,1% topical,Once or twice daily,Indefinite (lifelong maintenance)
Tazarotene,ARAZLO,Psoriasis; Acne,Autoimmune – Dermatology,chemical,RARG,0.01,0.045% topical,Once or twice daily,Indefinite (lifelong maintenance)
Teduglutide,GATTEX KIT,Short bowel syndrome,Endocrinology – Metabolic,protein,GLP2R,,5MG/VIAL SC,Once daily,Indefinite (lifelong maintenance)
Telmisartan,MICARDIS,Hypertension,Cardiovascular – Hypertension,chemical,AGTR1,0.00,40MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Temozolomide,TEMODAR,Glioblastoma,Oncology – Solid Tumor,chemical,DNA inhibitor,0.00,100MG/VIAL IV,Once daily,Long-term (until progression / disease control)
Temsirolimus,TEMSIROLIMUS,Renal cell carcinoma,Autoimmune – Rheumatology,chemical,FKBP1A,0.00,25MG/mL (25MG/mL) IV,As directed,Indefinite (lifelong maintenance)
Tenofovir Alafenamide Fumarate,TENOFOVIR ALAFENAMIDE,HIV infection,Infectious – HIV,chemical,pol,0.22,25MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Tenofovir Disoproxil Fumarate,TENOFOVIR DISOPROXIL FUMARATE,HIV infection,Infectious – HIV,chemical,pol,0.00,300MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Tepotinib Hydrochloride,TEPMETKO,Non-small cell lung cancer; Small cell lung cancer,Oncology – Solid Tumor,chemical,MET,0.00,225MG BASE oral,Once or twice daily,Long-term (until progression / disease control)
Terazosin Hydrochloride,TERAZOSIN HYDROCHLORIDE,Benign prostatic hyperplasia,Cardiovascular – Other,chemical,ADRA1A,0.00,1MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Teriflunomide,AUBAGIO,Multiple sclerosis,Neurology – Demyelinating,chemical,DHODH,0.16,14MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Teriparatide,BONSITY,Osteoporosis; Menopausal / hormone therapy,Bone / Metabolic,protein,PTH1R,0.08,0.56MG/2.24ML (0.25MG/mL) SC,Weekly or monthly,Indefinite (lifelong maintenance)
Testosterone,ANDROGEL,Hypogonadism,Endocrinology – Reproductive,chemical,AR,0.01,50MG/5GM PACKET transdermal,Once daily,Indefinite (lifelong maintenance)
Testosterone Cypionate,AZMIRO,Hypogonadism,Endocrinology – Reproductive,chemical,AR,,200MG/mL (200MG/mL),As directed,Indefinite (lifelong maintenance)
Testosterone Enanthate,TESTOSTERONE ENANTHATE,Hypogonadism,Endocrinology – Reproductive,chemical,AR,,100MG/0.5ML (100MG/0.5ML) SC,Weekly or monthly,Indefinite (lifelong maintenance)
Testosterone Undecanoate,AVEED,Hypogonadism,Endocrinology – Reproductive,chemical,AR,0.00,750MG/3ML (250MG/mL),Monthly or quarterly,Indefinite (lifelong maintenance)
Tetrabenazine,TETRABENAZINE,Huntington's disease,Neurology – Movement Disorder,chemical,SLC18A2,0.01,25MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Thalidomide,THALIDOMIDE,Multiple myeloma,Oncology – Hematologic,chemical,CRBN,0.00,200MG oral,Once or twice daily,Long-term (until progression / disease control)
Theophylline,THEO-24,Asthma; COPD,Respiratory – Obstructive,chemical,PDE4A | PDE3A | ADORA1,0.00,400MG oral,Once daily,Indefinite (lifelong maintenance)
Thiamine Hydrochloride,THIAMINE HYDROCHLORIDE,Metabolic disorder,Endocrinology – Metabolic,chemical,Supplement,0.01,100MG/mL,As directed,Indefinite (lifelong maintenance)
Thioridazine Hydrochloride,THIORIDAZINE HYDROCHLORIDE,Schizophrenia; Bipolar disorder; Nausea,Psychiatry – Psychotic,chemical,HTR2A | HTR2C | DRD2,,10MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Thiothixene,THIOTHIXENE,Schizophrenia,Psychiatry – Psychotic,chemical,DRD2 | HTR2A,,1MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Tiagabine Hydrochloride,GABITRIL,Epilepsy / seizures,Neurology – Epilepsy,chemical,SLC6A1,0.00,16MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Ticagrelor,BRILINTA,Myocardial infarction (risk reduction); Stroke (risk reduction),Cardiovascular – Thrombosis,chemical,P2RY12,0.26,90MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Timolol,BETIMOL,Hypertension; Glaucoma / ocular hypertension,Cardiovascular – Hypertension,chemical,ADRB1 | ADRB2,0.01,0.5% ophthalmic,Once daily,Indefinite (lifelong maintenance)
Timolol Maleate,ISTALOL,Hypertension; Glaucoma / ocular hypertension,Cardiovascular – Hypertension,chemical,ADRB1 | ADRB2,0.00,0.5% BASE ophthalmic,Once daily,Indefinite (lifelong maintenance)
Tiotropium Bromide,SPIRIVA,COPD,Respiratory – Obstructive,chemical,CHRM3,1.08,0.0025MG BASE//inh inh,Twice daily,Indefinite (lifelong maintenance)
Tipranavir,APTIVUS,HIV infection,Infectious – HIV,chemical,pol,0.00,250MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Tirzepatide,MOUNJARO,Type 2 diabetes; Obesity / weight management,Endocrinology – Diabetes,protein,GIPR | GLP1R,16.4,60MG/2.4ML SC,Weekly or as directed,Indefinite (lifelong maintenance)
Tizanidine Hydrochloride,ONTRALFY,Spasticity,Neurology – Neuromuscular,chemical,ADRA2A,0.05,4MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Tofacitinib Citrate,TOFACITINIB CITRATE,Rheumatoid arthritis; Psoriatic arthritis; Ankylosing spondylitis,Autoimmune – Rheumatology,chemical,JAK3,0.54,10MG BASE oral,Once or twice daily,Indefinite (lifelong maintenance)
Tolcapone,TASMAR,Parkinson's disease,Neurology – Movement Disorder,chemical,COMT,,100MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Tolterodine Tartrate,DETROL,Overactive bladder,Urology – Bladder,chemical,CHRM3 | CHRM2,0.00,2MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Tolvaptan,JYNARQUE,Cardiovascular disease,Cardiovascular – Other,chemical,AVPR2,0.24,30MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Topiramate,EPRONTIA,Epilepsy / seizures; Migraine,Psychiatry – Other,chemical,CA2 | CA4 | GRIA4 | GRIK1 | GABRA1 | SCN1A,0.22,200MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Topotecan Hydrochloride,HYCAMTIN,Small cell lung cancer,Oncology – Solid Tumor,chemical,TOP1,0.00,4MG BASE/4ML (1MG BASE/mL) IV,As directed,Long-term (until progression / disease control)
Torsemide,SOAANZ,Heart failure; Hypertension,Cardiovascular – Heart Failure,chemical,SLC12A1,0.01,40MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Tovorafenib,OJEMDA,Glioblastoma,Oncology – Solid Tumor,chemical,RAF1,,100MG oral,Once or twice daily,Long-term (until progression / disease control)
Trametinib Dimethyl Sulfoxide,MEKINIST,Melanoma,Oncology – Solid Tumor,chemical,MAP2K2 | MAP2K1,0.11,2MG oral,Once or twice daily,Long-term (until progression / disease control)
Trandolapril,TRANDOLAPRIL,Heart failure; Hypertension; Myocardial infarction (risk reduction),Cardiovascular – Heart Failure,chemical,ACE,,1MG oral,Once or twice daily,Indefinite (lifelong maintenance)
Trandolapril; Verapamil Hydrochloride,TRANDOLAPRIL AND VERAPAMIL HYDROCHLORIDE,Hypertension,Cardiovascular – Hypertension,chemical,ACE | CACNA1C,,1MG; 240MG oral,Once daily,Indefinite (lifelong maintenance)
Travoprost,IDOSE TR,Hypertension; Glaucoma / ocular hypertension,Ophthalmology,chemical,PTGFR,0.01,0.004% ophthalmic,Once daily,Indefinite (lifelong maintenance)
Trazodone Hydrochloride,RALDESY,Major depressive disorder,Psychiatry – Mood,chemical,SLC6A4 | HTR2A | HTR2C,0.17,10MG/mL oral,Once or twice daily,Indefinite (lifelong maintenance)
