Drug,Matched_Query,Source,N_Indications,Indications_Parsed,Label_Indication_Text
Cholestyramine,openfda.generic_name=Cholestyramine,openFDA label,2,Dyslipidemia / hypercholesterolemia; Hypertriglyceridemia,"INDICATIONS AND USAGE 1) Cholestyramine for Oral Suspension, USP Light powder is indicated as adjunctive therapy to diet for the reduction of elevated serum cholesterol in patients with primary hypercholesterolemia (elevated low density lipoprotein [LDL] cholesterol) who do not respond adequately to diet. Cholestyramine for Oral Suspension, USP Light powder may be useful to lower LDL cholesterol in patients who also have hypertriglyceridemia, but it is not indicated where hypertriglyceridemia is the abnormality of most concern. Therapy with lipid-altering agents should be a component of multip"
Choline Fenofibrate,openfda.substance_name=Choline Fenofibrate,openFDA label,2,Dyslipidemia / hypercholesterolemia; Hypertriglyceridemia,"1 INDICATIONS & USAGE Fenofibric acid delayed-release capsules is indicated as adjunctive therapy to diet: • to reduce triglyceride (TG) levels in adults with severe hypertriglyceridemia (TG greater than or equal to 500 mg/dL). • to reduce elevated low-density lipoprotein cholesterol (LDL-C) in adults with primary hyperlipidemia when use of recommended LDL-C lowering therapy is not possible. Limitations of Use • Markedly elevated levels of serum TG (e.g., > 2,000 mg/dL) may increase the risk of developing pancreatitis. The effect of fenofibrate therapy on reducing this risk has not been determ"
Ciclesonide,openfda.generic_name=Ciclesonide,openFDA label,1,Allergic rhinitis,"OMNARIS Nasal Spray is a corticosteroid indicated for treatment of nasal symptoms associated with seasonal allergic rhinitis in adults and children 6 years of age and older and perennial allergic rhinitis in adults and adolescents 12 years of age and older. ( 1.1 , 1.2 ) 1.1 Treatment of Seasonal Allergic Rhinitis OMNARIS Nasal Spray is indicated for the treatment of nasal symptoms associated with seasonal allergic rhinitis in adults and children 6 years of age and older. 1.2 Treatment of Perennial Allergic Rhinitis OMNARIS Nasal Spray is indicated for the treatment of nasal symptoms associate"
Cilastatin Sodium; Imipenem,openfda.brand_name=IMIPENEM AND CILASTATIN,openFDA label,0,,"Imipenem and Cilastatin for Injection, USP for intravenous use is a combination of imipenem, a penem antibacterial, and cilastatin, a renal dehydropeptidase inhibitor, indicated for the treatment of the following serious infections caused by designated susceptible bacteria: Lower respiratory tract infections. Urinary tract infections. Intra-abdominal infections. Gynecologic infections. Bacterial septicemia. Bone and joint infections. Skin and skin structure infections. Endocarditis. Limitations of Use : Imipenem and Cilastatin for Injection, USP (I.V.) is not indicated in patients with meningi"
Cilastatin Sodium; Imipenem; Relebactam,openfda.brand_name=RECARBRIO,openFDA label,0,,"RECARBRIO is a combination of imipenem, a penem antibacterial, cilastatin, a renal dehydropeptidase inhibitor, and relebactam, a beta-lactamase inhibitor, indicated in adult and pediatric patients weighing at least 2 kg for the treatment of the following infections caused by susceptible gram-negative microorganisms: Hospital-acquired bacterial pneumonia and ventilator-associated bacterial pneumonia (HABP/VABP). Complicated urinary tract infections, including pyelonephritis (cUTI) in patients who have limited or no alternative treatment options. Complicated intra-abdominal infections (cIAI) in "
Cilostazol,openfda.generic_name=Cilostazol,openFDA label,0,,"Cilostazol tablets are indicated for the reduction of symptoms of intermittent claudication, as demonstrated by an increased walking distance. Cilostazol is a phosphodiesterase III inhibitor (PDE III inhibitor) indicated for the reduction of symptoms of intermittent claudication, as demonstrated by an increased walking distance"
Cimetidine,openfda.generic_name=Cimetidine,openFDA label,0,,"INDICATIONS AND USAGE Cimetidine tablets are indicated in: 1. Short-term treatment of active duodenal ulcer. Most patients heal within 4 weeks and there is rarely reason to use cimetidine tablets at full dosage for longer than 6 to 8 weeks (see DOSAGE AND ADMINISTRATION: Duodenal Ulcer ). Concomitant antacids should be given as needed for relief of pain. However, simultaneous administration of cimetidine tablets and antacids is not recommended, since antacids have been reported to interfere with the absorption of cimetidine. 2. Maintenance therapy for duodenal ulcer patients at reduced dosage "
Cimetidine Hydrochloride,openfda.generic_name=Cimetidine,openFDA label,0,,"INDICATIONS AND USAGE Cimetidine tablets are indicated in: 1. Short-term treatment of active duodenal ulcer. Most patients heal within 4 weeks and there is rarely reason to use cimetidine tablets at full dosage for longer than 6 to 8 weeks (see DOSAGE AND ADMINISTRATION: Duodenal Ulcer ). Concomitant antacids should be given as needed for relief of pain. However, simultaneous administration of cimetidine tablets and antacids is not recommended, since antacids have been reported to interfere with the absorption of cimetidine. 2. Maintenance therapy for duodenal ulcer patients at reduced dosage "
Cinacalcet Hydrochloride,openfda.generic_name=Cinacalcet,openFDA label,2,Mineral / vitamin D disorder; Chronic kidney disease,"Cinacalcet is a positive modulator of the calcium sensing receptor indicated for: Secondary Hyperparathyroidism (HPT) in adult patients with chronic kidney disease (CKD) on dialysis. Limitations of Use : Cinacalcet tablets are not indicated for use in patients with CKD who are not on dialysis Hypercalcemia in adult patients with Parathyroid Carcinoma (PC). Hypercalcemia in adult patients with primary HPT for whom parathyroidectomy would be indicated on the basis of serum calcium levels, but who are unable to undergo parathyroidectomy. 1.1 Secondary Hyperparathyroidism Cinacalcet tablets are in"
Citalopram Hydrobromide,openfda.generic_name=Citalopram,openFDA label,1,Major depressive disorder,Citalopram tablets are indicated for the treatment of major depressive disorder (MDD) in adults . Citalopram tablets are a selective serotonin reuptake inhibitor (SSRI) indicated for the treatment of major depressive disorder (MDD) in adults .
Cladribine,openfda.generic_name=Cladribine,openFDA label,1,Multiple sclerosis,"Cladribine tablets are indicated for the treatment of relapsing forms of multiple sclerosis (MS), to include relapsing-remitting disease and active secondary progressive disease in adults. Because of its safety profile, use of cladribine tablets is generally recommended for patients who have had an inadequate response to, or are unable to tolerate, an alternate drug indicated for the treatment of MS [ see Warnings and Precautions ]. Limitations of Use Cladribine tablets are not recommended for use in patients with clinically isolated syndrome (CIS) because of its safety profile [ see Warnings "
Clevidipine,openfda.generic_name=Clevidipine,openFDA label,1,Hypertension,Cleviprex is indicated for the reduction of blood pressure when oral therapy is not feasible or not desirable. Cleviprex is a dihydropyridine calcium channel blocker indicated for the reduction of blood pressure when oral therapy is not feasible or not desirable.
Clobazam,openfda.generic_name=Clobazam,openFDA label,1,Epilepsy / seizures,Clobazam oral suspension is indicated for the adjunctive treatment of seizures associated with Lennox-Gastaut syndrome (LGS) in patients 2 years of age or older. Clobazam oral suspension is a benzodiazepine indicated for adjunctive treatment of seizures associated with Lennox-Gastaut syndrome (LGS) in patients 2 years of age or older
Clobetasol Propionate,openfda.generic_name=Clobetasol,openFDA label,0,,"INDICATIONS AND USAGE Clobetasol propionate ointment USP, 0.05% is super-high potency corticosteroid formulations indicated for the relief of the inflammatory and pruritic manifestations of corticosteroid-responsive dermatoses. Treatment beyond 2 consecutive weeks is not recommended, and the total dosage should not exceed 50 g/week because of the potential for the drug to suppress the hypothalamic-pituitary- adrenal (HPA) axis. Use in pediatric patients under 12 years of age is not recommended. As with other highly active corticosteroids, therapy should be discontinued when control has been ac"
Clofarabine,openfda.generic_name=Clofarabine,openFDA label,1,Acute lymphoblastic leukemia,Clofarabine injection is indicated for the treatment of pediatric patients 1 to 21 years old with relapsed or refractory acute lymphoblastic leukemia after at least two prior regimens. Clofarabine injection is a nucleoside metabolic inhibitor indicated for the treatment of pediatric patients 1 to 21 years old with relapsed or refractory acute lymphoblastic leukemia after at least two prior regimens.
Clomipramine Hydrochloride,openfda.generic_name=Clomipramine,openFDA label,1,Obsessive-compulsive disorder,"INDICATIONS AND USAGE Clomipramine hydrochloride capsules, USP is indicated for the treatment of obsessions and compulsions in patients with Obsessive-Compulsive Disorder (OCD). The obsessions or compulsions must cause marked distress, be time-consuming, or significantly interfere with social or occupational functioning, in order to meet the DSM-III-R (circa 1989) diagnosis of OCD. Obsessions are recurrent, persistent ideas, thoughts, images, or impulses that are ego­-dystonic. Compulsions are repetitive, purposeful, and intentional behaviors performed in response to an obsession or in a stere"
Clonazepam,openfda.generic_name=Clonazepam,openFDA label,1,Panic disorder,"INDICATIONS AND USAGE Seizure Disorders: Clonazepam tablets are useful alone or as an adjunct in the treatment of the Lennox-Gastaut syndrome (petit mal variant), akinetic, and myoclonic seizures. In patients with absence seizures (petit mal) who have failed to respond to succinimides, clonazepam tablets may be useful. Some loss of effect may occur during the course of clonazepam treatment (see PRECAUTIONS : Loss of Effect ). Panic Disorder: Clonazepam tablets are indicated for the treatment of panic disorder, with or without agoraphobia, as defined in DSM-V. Panic disorder is characterized by"
Clonidine,openfda.generic_name=Clonidine,openFDA label,1,Hypertension,INDICATIONS AND USAGE Clonidine hydrochloride tablets are indicated in the treatment of hypertension. Clonidine hydrochloride tablets may be employed alone or concomitantly with other antihypertensive agents.
